definition,class,root,success,ambiguous_forms,notes
he's writing it,Vc*,ohwel,True,,
"he's running away, he's escaping",Ia,alithi,True,present;imperfective,Ambiguity implies lossy rule reversal
he's crushing it,Ib,sto,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's hammering it,Ib,nvkwalo,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's cracking it,Ib,vskwalo,True,perfective;infinitive,Ambiguity implies lossy rule reversal
he's washing it,Ib,uhilo,True,,
he's measuring it,Ib,ahlilo,True,present;imperfective,Ambiguity implies lossy rule reversal
1. he's bathing  2. he's swimming,Ib,atawo,True,present;imperfective,Ambiguity implies lossy rule reversal
1. he's bathing him 2. he's baptizing him,Ib,awo,True,present;imperfective,Ambiguity implies lossy rule reversal
he's putting on a shirt,Ib,ahnawo,True,present;imperfective,Ambiguity implies lossy rule reversal
he's putting on clothes,Ib,ahnawo,True,present;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he's combing someone's hair,Ib,thawo,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's combing his hair,Ib,ahlthawo,True,present;imperfective,Ambiguity implies lossy rule reversal
he's performing a baptism,Ib,atawo,True,present;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he's washing his face,Ib,akvskwo,True,present;imperfective,Ambiguity implies lossy rule reversal
he's moving it from one place to another,Ic*,hv,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
1. he's turning back 2. he's turning (his head or body),Ic*,akhthahv,True,present;imperfective,Ambiguity implies lossy rule reversal
he's changing shoes,Ic*,alasulaiyv,True,present;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he's changing his pants,Ic*,asulaiyv,True,present;imperfective,Ambiguity implies lossy rule reversal
he's changing his shirt,Ic*,ahnawaiyv,True,present;imperfective,Ambiguity implies lossy rule reversal
he's changing clothes,Ic*,ahnawaiyv,True,present;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he's climbing it,X*,l,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
"he's chasing him, it",X*,kheh,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's not having any luck hunting,X*,akhwol,True,,
he's carrying a long object on his shoulder,X*,ahnohlin,True,present;imperfective,Ambiguity implies lossy rule reversal
"he's following him, it",X*,stawat,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's taking a liquid somewhere by hand,X*,nhts,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's taking a long object somewhere by hand,X*,n,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's swimming (propelling himself through water),X*,ahyuin,True,present;imperfective,Ambiguity implies lossy rule reversal
he's backing up,X*,asin,True,present;imperfective,Ambiguity implies lossy rule reversal
he's taking a flexible object somewhere by hand,X*,hn,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's taking it somewhere by hand,X*,hy,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's getting a rash,IIIc2,akwenothi,True,present;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
"it's (round, long) falling",IIIc1,oho,True,,
"he's attaching it (flexible), behind it",IIIa1,sanenatv,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
"he, it's growing",IIIc1*,athv,True,present;imperfective,Ambiguity implies lossy rule reversal
"1.  he's breaking a flexible object, 2. He's cutting a flexible object",IIId*,kal,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's breaking a long object,IIId*,skwal,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's falling from an elevated position,IIIc1,lo,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he/it is going through it,IIIc1*,khthvle,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's getting exhausted,IIIc1*,asthaye,True,present;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
1. it's decaying  2. it's spoiling,IIIc1,ako,True,,
he's finding it out,IIIc1,ateloho,True,present;imperfective,Ambiguity implies lossy rule reversal
he's confronted with it,IIIc1,atlo,True,present;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he's beating him at a game,IIIc1,hlo,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
1. he's becoming warm  2. he's warming himself,IIIc1,akanawo,True,,
it's melting,IIIc1,vnawo,True,perfective;infinitive,Ambiguity implies lossy rule reversal
"he's dying, (human)",IIIc1,yohu,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's burning,IIIc1*,leyv,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's sewing it,IIId*,yew,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
it (a flexible object) is falling from a hanging position,IIIc1,ato,True,present;imperfective,Ambiguity implies lossy rule reversal
he's going down hill,IIIc1,khso,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's releasing him,IIIc1,yo,True,present;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
"He's releasing it, (voluntarily)",IIIc1,ayo,True,present;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he's giving up,IIIc1,atayo,True,present;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he's getting full,IIIc1*,ohlv,True,,
he's amazed,IIIc1,skwaniko,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's embarrassed,IIIc1,ateho,True,present;imperfective,Ambiguity implies lossy rule reversal
a long object is falling from an upright position,IIIc1*,leyv,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's riding it (anything that can be straddled),IVa,akhilvt,True,present;imperfective,Ambiguity implies lossy rule reversal
"he's running over him, it",IVa,atinvt,True,present;imperfective,Ambiguity implies lossy rule reversal
he's bouncing it,IVa,atatinvt,True,present;imperfective,Ambiguity implies lossy rule reversal
he's making him fall from an elevated psition,IVa,lonht,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
"he's interpreting, translating it",IVa,ahnehlt,True,present;imperfective,Ambiguity implies lossy rule reversal
he's taking turns with him,IVa,atanetliyvst,True,present;imperfective,Ambiguity implies lossy rule reversal
he's waking him up,IVa,yeist,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
"he's listening to it, him",IVa,athvtast,True,present;imperfective,Ambiguity implies lossy rule reversal
1. He's bluffing him. 2. he's deceiving him 3. he's tricking him,IVa,lonast,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's winking,IVa,akhthast,True,present;imperfective,Ambiguity implies lossy rule reversal
he's closing his eyes,IVa,akhthast,True,present;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he's wringing it out,IVa,tsvwast,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's stretching,IVa,atahyast,True,present;imperfective,Ambiguity implies lossy rule reversal
he's starting it,IVa,ahnikist,True,present;imperfective,Ambiguity implies lossy rule reversal
he's praying,IVa,atatolist,True,present;imperfective,Ambiguity implies lossy rule reversal
he's pouring liquid into a container,IVa,tlist,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
"he's slamming him, it",IVa,lvtvnist,True,present;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he's turning it,IVa,teyst,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's spinning it,IVa,tikwalvteyst,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
"he's releasing it, (involuntarily)",IVa,askalest,True,present;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
"he's smothering, suffocating",IVa,ahawost,True,,
he's holding his breath,IVa,athahwost,True,present;imperfective,Ambiguity implies lossy rule reversal
"1. he's breaking it., 2. he's spoiling him",IVa,yost,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's vomiting,IVa,akhst,True,present;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
"1. he's taking liquid from him, it  2. he's milking it (when used with unvdi)",XI*,neki,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's disbelieving,XI*,atlasithv,True,,
he's moaning,IVa,aliyet,True,,
he's making a mistake,IVa,alitast,True,,
he's exploding it,IVa,athaskist,True,present;imperfective,Ambiguity implies lossy rule reversal
he's placing a long object in an upright position,IVa,aleht,True,present;imperfective,Ambiguity implies lossy rule reversal
"he's making it (round, long) fall",IVa,ohonht,True,,
he's showing it to him,IVa,kowhthvht,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's melting it,IVa,vnawht,True,perfective;infinitive,Ambiguity implies lossy rule reversal
he's warming it,IVa,kanawht,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
1. he's making it crisp  2. he's starching it,IVa,stakayht,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's rising from a prone position,IVb,atit,True,present;imperfective,Ambiguity implies lossy rule reversal
"he's taking off flying, its flying away",IVb,ahlawit,True,present;imperfective,Ambiguity implies lossy rule reversal
"he's taking it (animal, flexible object) somewhere",IVb,nawit,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's taking some liquid somewhere,IVb,nehwit,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's taking a long object somewhere,IVb,yvhwit,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's putting it into a container,IVa,hlt,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's setting a price,IVa,kvwahlt,True,present;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he's attempting it,IVa,anehlt,True,present;imperfective,Ambiguity implies lossy rule reversal
"he's playing with him, it",IVa,anehlt,True,present;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he's lecturing him,IVa,wonht,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's putting it on,IVa,vnht,True,present;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he's staggering,IVa,atokht,True,present;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he's deciding,IVa,ukht,True,present;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he's snorting,IVa,ahliyvsanawst,True,present;imperfective,Ambiguity implies lossy rule reversal
"he's including him, it (in counting)",IVa,asest,True,present;imperfective,Ambiguity implies lossy rule reversal
he's promising,IVa,thuist,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
1. he's preparing it.  2. he's getting ready,IVa,atvnvist,True,present;imperfective,Ambiguity implies lossy rule reversal
he's stopping by (on his way somewhere),IVa,lohist,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's taking a break,IVa,yohist,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
"he, it's making noise",IVa,atanohyvhlist,True,present;imperfective,Ambiguity implies lossy rule reversal
he's causing it to sound,IVa,nohyvhlist,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's cooking it (a specific food),IVa,vhnist,True,perfective;infinitive,Ambiguity implies lossy rule reversal
he/it is stopping,IVa,alehwist,True,present;imperfective,Ambiguity implies lossy rule reversal
"he's burning him, it",IVa,akohvst,True,present;imperfective,Ambiguity implies lossy rule reversal
"he's pressing down on him, it",IVa,asonst,True,present;imperfective,Ambiguity implies lossy rule reversal
he's smelling it  (sniff),IVa,alsvst,True,present;imperfective,Ambiguity implies lossy rule reversal
he's taking off running,IVa,atanawst,True,present;imperfective,Ambiguity implies lossy rule reversal
He's making an X,IVa,atahnawst,True,present;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he's breaking it up,IVa,yoist,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's loaning it to him,IVa,atholst,True,present;imperfective,Ambiguity implies lossy rule reversal
he's scheduling time,IVa,svst,True,present;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
1. he's setting a goal 2.  he's aiming,IVa,alsost,True,present;imperfective,Ambiguity implies lossy rule reversal
he's sifting it,IVa,vkust,True,perfective;infinitive,Ambiguity implies lossy rule reversal
he's resting,IVa,atawesolvst,True,present;imperfective,Ambiguity implies lossy rule reversal
1. he's making smoke; 2. it's smoking,IVa,khsvst,True,present;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he's shattering it,IVa,ahlkhotht,True,present;imperfective,Ambiguity implies lossy rule reversal
he's starting/beginning,IVb,alen,True,present;imperfective,Ambiguity implies lossy rule reversal
he's target practicing,IVb,akon,True,present;imperfective,Ambiguity implies lossy rule reversal
"1. he's getting a long object., 2. he's picking up a long object",IVb,y,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's having a birthday,IVb,atethiy,True,,
he's paying,IVb,akhwiy,True,present;imperfective,Ambiguity implies lossy rule reversal
1. he's catching him 2. he's arresting him 3. he's playing catcher,IVb,niy,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's taking it somewhere,IVb,hwit,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
