definition,class,root,success,ambiguous_forms,notes
he/she is praying,ih-ohd,atolihst,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is praying,ih-ohd,olihst,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is praying,ih-ohd,tolihst,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is praying,ih-ohd[perf3],:tolihst,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is praying,ih-ohd[perf3],atatolihst,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is praying,ih-ohd[perf3],atolihst,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is praying,ih-ohd[perf3],olihst,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is praying,ih-ohd[perf3],tolihst,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is praying,ih-ohd[pres2-perf3],:tolihstih,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is praying,ih-ohd[pres2-perf3],atatolihstih,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is praying,ih-ohd[pres2-perf3],atolihstih,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is praying,ih-ohd[pres2-perf3],olihstih,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is praying,ih-ohd[pres2-perf3],tolihstih,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is praying,ih-ohd[pres2],:tolihstih,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is praying,ih-ohd[pres2],atatolihstih,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is praying,ih-ohd[pres2],atolihstih,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is praying,ih-ohd[pres2],olihstih,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is praying,ih-ohd[pres2],tolihstih,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is fanning himself/herself,eh-a,:nhoy,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is fanning himself/herself,eh-a,anhoy,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is fanning himself/herself,eh-a,atanhoy,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is fanning himself/herself,eh-a,nhoy,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is fanning himself/herself,eh-eh,:nhoy,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is fanning himself/herself,eh-eh,anhoy,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is fanning himself/herself,eh-eh,atanhoy,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is fanning himself/herself,eh-eh,nhoy,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is visiting,oh-ol-a,:whahthvh,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is visiting,oh-ol-a,:whahthvhit,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is visiting,oh-ol-a,atawhahthvh,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is visiting,oh-ol-a,atawhahthvhit,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is visiting,oh-ol-a,awhahthvh,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is visiting,oh-ol-a,awhahthvhit,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is visiting,oh-ol-a,whahthvh,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is visiting,oh-ol-a,whahthvhit,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is stretching,ih-ohd,:yhahst,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is stretching,ih-ohd,atayhahst,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is stretching,ih-ohd,ayhahst,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is stretching,ih-ohd,yhahst,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is stretching,ih-ohd[perf3],:yhahst,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is stretching,ih-ohd[perf3],atayhahst,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is stretching,ih-ohd[perf3],ayhahst,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is stretching,ih-ohd[perf3],yhahst,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is stretching,ih-ohd[pres2-perf3],:yhahstih,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is stretching,ih-ohd[pres2-perf3],atayhahstih,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is stretching,ih-ohd[pres2-perf3],ayhahstih,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is stretching,ih-ohd[pres2-perf3],yhahstih,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is stretching,ih-ohd[pres2],:yhahstih,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is stretching,ih-ohd[pres2],atayhahstih,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is stretching,ih-ohd[pres2],ayhahstih,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is stretching,ih-ohd[pres2],yhahstih,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is denying him/her,hih-hil[imp2],:y,True,present;present_1sg;imperative,Ambiguity implies lossy rule reversal
he/she is denying him/her,hih-hil[imp2],atay,True,present;present_1sg;imperative,Ambiguity implies lossy rule reversal
he/she is denying him/her,hih-hil[imp2],ay,True,present;present_1sg;imperative,Ambiguity implies lossy rule reversal
he/she is denying him/her,hih-hil[imp2],y,True,present;present_1sg;imperative,Ambiguity implies lossy rule reversal
he/she is committing adultery,eh-el[imp4],:yhon,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is committing adultery,eh-el[imp4],atayhon,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is committing adultery,eh-el[imp4],ayhon,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is committing adultery,eh-el[imp4],yhon,True,present;present_1sg,Ambiguity implies lossy rule reversal
it’s ripping,ih-vh,:tsakal,True,present;present_1sg,Ambiguity implies lossy rule reversal
it’s ripping,ih-vh,atatsakal,True,present;present_1sg,Ambiguity implies lossy rule reversal
it’s ripping,ih-vh,atsakal,True,present;present_1sg,Ambiguity implies lossy rule reversal
it’s ripping,ih-vh,tsakal,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is looking at himself/herself in a mirror,eh-a,:kh,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is looking at himself/herself in a mirror,eh-a,akh,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is looking at himself/herself in a mirror,eh-a,atakh,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is looking at himself/herself in a mirror,eh-a,kh,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is looking at himself/herself in a mirror,eh-eh,:kh,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is looking at himself/herself in a mirror,eh-eh,akh,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is looking at himself/herself in a mirror,eh-eh,atakh,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is looking at himself/herself in a mirror,eh-eh,kh,True,present;present_1sg,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,'talen,True,,
it’s beginning,eh-a,'talen,True,,
it’s beginning,eh-a,'talen,True,,
it’s beginning,eh-a,'talen,True,,
it’s beginning,eh-a,'talen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,'talen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,'talen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,'talen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,'talen,True,,
it’s beginning,eh-a,'talen,True,,
it’s beginning,eh-a,'talen,True,,
it’s beginning,eh-a,'talen,True,,
it’s beginning,eh-a,'talen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,'talen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,'talen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,'talen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,:len,True,,
it’s beginning,eh-a,:len,True,,
it’s beginning,eh-a,:len,True,,
it’s beginning,eh-a,:len,True,,
it’s beginning,eh-a,:len,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,:len,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,:len,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,:len,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,:len,True,,
it’s beginning,eh-a,:len,True,,
it’s beginning,eh-a,:len,True,,
it’s beginning,eh-a,:len,True,,
it’s beginning,eh-a,:len,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,:len,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,:len,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,:len,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,alen,True,,
it’s beginning,eh-a,alen,True,,
it’s beginning,eh-a,alen,True,,
it’s beginning,eh-a,alen,True,,
it’s beginning,eh-a,alen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,alen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,alen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,alen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,alen,True,,
it’s beginning,eh-a,alen,True,,
it’s beginning,eh-a,alen,True,,
it’s beginning,eh-a,alen,True,,
it’s beginning,eh-a,alen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,alen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,alen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,alen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,atalen,True,,
it’s beginning,eh-a,atalen,True,,
it’s beginning,eh-a,atalen,True,,
it’s beginning,eh-a,atalen,True,,
it’s beginning,eh-a,atalen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,atalen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,atalen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,atalen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,atalen,True,,
it’s beginning,eh-a,atalen,True,,
it’s beginning,eh-a,atalen,True,,
it’s beginning,eh-a,atalen,True,,
it’s beginning,eh-a,atalen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,atalen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,atalen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,atalen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,len,True,,
it’s beginning,eh-a,len,True,,
it’s beginning,eh-a,len,True,,
it’s beginning,eh-a,len,True,,
it’s beginning,eh-a,len,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,len,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,len,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,len,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,len,True,,
it’s beginning,eh-a,len,True,,
it’s beginning,eh-a,len,True,,
it’s beginning,eh-a,len,True,,
it’s beginning,eh-a,len,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,len,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,len,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,len,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,talen,True,,
it’s beginning,eh-a,talen,True,,
it’s beginning,eh-a,talen,True,,
it’s beginning,eh-a,talen,True,,
it’s beginning,eh-a,talen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,talen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,talen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,talen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,talen,True,,
it’s beginning,eh-a,talen,True,,
it’s beginning,eh-a,talen,True,,
it’s beginning,eh-a,talen,True,,
it’s beginning,eh-a,talen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,talen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,talen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,eh-a,talen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,'talen,True,,
it’s beginning,hvsg-han,'talen,True,,
it’s beginning,hvsg-han,'talen,True,,
it’s beginning,hvsg-han,'talen,True,,
it’s beginning,hvsg-han,'talen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,'talen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,'talen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,'talen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,'talen,True,,
it’s beginning,hvsg-han,'talen,True,,
it’s beginning,hvsg-han,'talen,True,,
it’s beginning,hvsg-han,'talen,True,,
it’s beginning,hvsg-han,'talen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,'talen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,'talen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,'talen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,:len,True,,
it’s beginning,hvsg-han,:len,True,,
it’s beginning,hvsg-han,:len,True,,
it’s beginning,hvsg-han,:len,True,,
it’s beginning,hvsg-han,:len,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,:len,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,:len,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,:len,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,:len,True,,
it’s beginning,hvsg-han,:len,True,,
it’s beginning,hvsg-han,:len,True,,
it’s beginning,hvsg-han,:len,True,,
it’s beginning,hvsg-han,:len,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,:len,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,:len,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,:len,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,alen,True,,
it’s beginning,hvsg-han,alen,True,,
it’s beginning,hvsg-han,alen,True,,
it’s beginning,hvsg-han,alen,True,,
it’s beginning,hvsg-han,alen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,alen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,alen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,alen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,alen,True,,
it’s beginning,hvsg-han,alen,True,,
it’s beginning,hvsg-han,alen,True,,
it’s beginning,hvsg-han,alen,True,,
it’s beginning,hvsg-han,alen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,alen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,alen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,alen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,atalen,True,,
it’s beginning,hvsg-han,atalen,True,,
it’s beginning,hvsg-han,atalen,True,,
it’s beginning,hvsg-han,atalen,True,,
it’s beginning,hvsg-han,atalen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,atalen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,atalen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,atalen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,atalen,True,,
it’s beginning,hvsg-han,atalen,True,,
it’s beginning,hvsg-han,atalen,True,,
it’s beginning,hvsg-han,atalen,True,,
it’s beginning,hvsg-han,atalen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,atalen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,atalen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,atalen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,len,True,,
it’s beginning,hvsg-han,len,True,,
it’s beginning,hvsg-han,len,True,,
it’s beginning,hvsg-han,len,True,,
it’s beginning,hvsg-han,len,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,len,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,len,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,len,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,len,True,,
it’s beginning,hvsg-han,len,True,,
it’s beginning,hvsg-han,len,True,,
it’s beginning,hvsg-han,len,True,,
it’s beginning,hvsg-han,len,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,len,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,len,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,len,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,talen,True,,
it’s beginning,hvsg-han,talen,True,,
it’s beginning,hvsg-han,talen,True,,
it’s beginning,hvsg-han,talen,True,,
it’s beginning,hvsg-han,talen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,talen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,talen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,talen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,talen,True,,
it’s beginning,hvsg-han,talen,True,,
it’s beginning,hvsg-han,talen,True,,
it’s beginning,hvsg-han,talen,True,,
it’s beginning,hvsg-han,talen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,talen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,talen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-han,talen,True,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],'talen,False,,
it’s beginning,hvsg-hn[inf2],'talen,False,,
it’s beginning,hvsg-hn[inf2],'talen,False,,
it’s beginning,hvsg-hn[inf2],'talen,False,,
it’s beginning,hvsg-hn[inf2],'talen,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],'talen,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],'talen,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],'talen,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],'talen,False,,
it’s beginning,hvsg-hn[inf2],'talen,False,,
it’s beginning,hvsg-hn[inf2],'talen,False,,
it’s beginning,hvsg-hn[inf2],'talen,False,,
it’s beginning,hvsg-hn[inf2],'talen,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],'talen,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],'talen,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],'talen,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],:len,False,,
it’s beginning,hvsg-hn[inf2],:len,False,,
it’s beginning,hvsg-hn[inf2],:len,False,,
it’s beginning,hvsg-hn[inf2],:len,False,,
it’s beginning,hvsg-hn[inf2],:len,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],:len,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],:len,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],:len,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],:len,False,,
it’s beginning,hvsg-hn[inf2],:len,False,,
it’s beginning,hvsg-hn[inf2],:len,False,,
it’s beginning,hvsg-hn[inf2],:len,False,,
it’s beginning,hvsg-hn[inf2],:len,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],:len,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],:len,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],:len,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],alen,False,,
it’s beginning,hvsg-hn[inf2],alen,False,,
it’s beginning,hvsg-hn[inf2],alen,False,,
it’s beginning,hvsg-hn[inf2],alen,False,,
it’s beginning,hvsg-hn[inf2],alen,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],alen,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],alen,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],alen,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],alen,False,,
it’s beginning,hvsg-hn[inf2],alen,False,,
it’s beginning,hvsg-hn[inf2],alen,False,,
it’s beginning,hvsg-hn[inf2],alen,False,,
it’s beginning,hvsg-hn[inf2],alen,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],alen,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],alen,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],alen,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],atalen,False,,
it’s beginning,hvsg-hn[inf2],atalen,False,,
it’s beginning,hvsg-hn[inf2],atalen,False,,
it’s beginning,hvsg-hn[inf2],atalen,False,,
it’s beginning,hvsg-hn[inf2],atalen,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],atalen,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],atalen,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],atalen,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],atalen,False,,
it’s beginning,hvsg-hn[inf2],atalen,False,,
it’s beginning,hvsg-hn[inf2],atalen,False,,
it’s beginning,hvsg-hn[inf2],atalen,False,,
it’s beginning,hvsg-hn[inf2],atalen,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],atalen,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],atalen,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],atalen,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],len,False,,
it’s beginning,hvsg-hn[inf2],len,False,,
it’s beginning,hvsg-hn[inf2],len,False,,
it’s beginning,hvsg-hn[inf2],len,False,,
it’s beginning,hvsg-hn[inf2],len,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],len,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],len,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],len,False,infinitive,Ambiguity implies lossy rule reversal
it’s beginning,hvsg-hn[inf2],len,False,,
it’s beginning,hvsg-hn[inf2],len,False,,
it’s beginning,hvsg-hn[inf2],len,False,,
it’s beginning,hvsg-hn[inf2],len,False,,
it’s beginning,hvsg-hn[inf2],len,False,infinitive,Ambiguity implies lossy rule reversal
