Id,Deck,SequenceOrder,EntryNo,WordIndex,TotalWords,English,FrontSyllabary,FrontPhonetics,TargetWordSyllabary,TargetWordPhonetics,BackSyllabary,BackPhonetics,Audio,Tags
cloze_506.1_s1_w2,Cherokee Cloze Sentences,11,506.1,2,3,Do you recognize that young man?,ᎯᏲᎵᎦᏍ <span class='cloze-blank'>______</span> ᎠᏫᎾ?,hiyoligas <span class='cloze-blank'>______</span> awina,Ꮎ,na,ᎯᏲᎵᎦᏍ <span class='cloze-target'>Ꮎ</span> ᎠᏫᎾ?,hiyoligas <span class='cloze-target'>na</span> awina,[sound:Sentence_for_entry_0506.m4a],cloze sentence entry_506
cloze_1508.1_s1_w2,Cherokee Cloze Sentences,12,1508.1,2,4,Look! There’s a bug on the bush.,Ꮒ! <span class='cloze-blank'>______</span> ᎤᎩᎳ ᎤᏩᎢᏢᎢ.,ni <span class='cloze-blank'>______</span> ukila uwa’ihlv’i,ᏥᎪᏯ,tsgoya,Ꮒ! <span class='cloze-target'>ᏥᎪᏯ</span> ᎤᎩᎳ ᎤᏩᎢᏢᎢ.,ni <span class='cloze-target'>tsgoya</span> ukila uwa’ihlv’i,[sound:Sentence_for_entry_1508.m4a],cloze sentence entry_1508
cloze_1681.1_s1_w1,Cherokee Cloze Sentences,13,1681.1,1,3,The clouds are moving fast.,<span class='cloze-blank'>______</span> ᎠᎢ ᎤᎶᎩᎸ.,<span class='cloze-blank'>______</span> a’i ulogilv,ᎦᎶᏄᎵ,gajanuli,<span class='cloze-target'>ᎦᎶᏄᎵ</span> ᎠᎢ ᎤᎶᎩᎸ.,<span class='cloze-target'>gajanuli</span> a’i ulogilv,[sound:Sentence_for_entry_1681.m4a],cloze sentence entry_1681
cloze_1174.1_s1_w2,Cherokee Cloze Sentences,14,1174.1,2,4,A friend of mine lives in a green house.,ᎢᏤᎢᏳᏍᏗ <span class='cloze-blank'>______</span> ᎦᏁᎳ ᎣᎩᎾᎵᎢ.,ije’iyusdi <span class='cloze-blank'>______</span> ganela oginali’i,ᎠᏓᏁᎸ,adanelv,ᎢᏤᎢᏳᏍᏗ <span class='cloze-target'>ᎠᏓᏁᎸ</span> ᎦᏁᎳ ᎣᎩᎾᎵᎢ.,ije’iyusdi <span class='cloze-target'>adanelv</span> ganela oginali’i,[sound:Sentence_for_entry_1174.m4a],cloze sentence entry_1174
cloze_1580.1_s2_w2,Cherokee Cloze Sentences,15,1580.1,2,4,He’s sitting by the stove warming himself,ᎣᏏ <span class='cloze-blank'>______</span> ᎤᏬᏝ ᎤᎦᎾᏬᏍᎦ.,osi <span class='cloze-blank'>______</span> uwohla uganawosga,ᎾᎥ,na’v,ᎣᏏ <span class='cloze-target'>ᎾᎥ</span> ᎤᏬᏝ ᎤᎦᎾᏬᏍᎦ.,osi <span class='cloze-target'>na’v</span> uwohla uganawosga,[sound:Sentence_for_entry_1580_02.m4a],cloze sentence entry_1580
cloze_1760.1_s1_w2,Cherokee Cloze Sentences,16,1760.1,2,3,Who is the old chap?,ᎦᎪ <span class='cloze-blank'>______</span> ᎤᏛᎯᏍᏗ?,gago <span class='cloze-blank'>______</span> utvhisdi,Ꮎ,na,ᎦᎪ <span class='cloze-target'>Ꮎ</span> ᎤᏛᎯᏍᏗ?,gago <span class='cloze-target'>na</span> utvhisdi,[sound:Sentence_for_entry_1760.m4a],cloze sentence entry_1760
cloze_372.1_s1_w1,Cherokee Cloze Sentences,17,372.1,1,4,They were standing for two hours.,<span class='cloze-blank'>______</span> ᎢᏳᏟᎶᏓ ᎢᎪᎯᏓ ᎠᏂᏙᎾᎥᎢ.,<span class='cloze-blank'>______</span> iyuhliloda igohida anidona’v’i,ᏔᎵ,ta’li,<span class='cloze-target'>ᏔᎵ</span> ᎢᏳᏟᎶᏓ ᎢᎪᎯᏓ ᎠᏂᏙᎾᎥᎢ.,<span class='cloze-target'>ta’li</span> iyuhliloda igohida anidona’v’i,[sound:Sentence_for_entry_0372.m4a],cloze sentence entry_372
cloze_69.1_s1_w3,Cherokee Cloze Sentences,18,69.1,3,3,Would you like to work in a bank?,ᏱᏣᏚᎳᏍ ᎠᏕᎳᏗᏗ <span class='cloze-blank'>______</span>?,yijadulas adeladihdi <span class='cloze-blank'>______</span>,ᏗᏣᎸᏫᏍᏓᏁᏗ,dijalvhwisdanhdi’i,ᏱᏣᏚᎳᏍ ᎠᏕᎳᏗᏗ <span class='cloze-target'>ᏗᏣᎸᏫᏍᏓᏁᏗ</span>?,yijadulas adeladihdi <span class='cloze-target'>dijalvhwisdanhdi’i</span>,[sound:Sentence_for_entry_0069.m4a],cloze sentence entry_69
cloze_15.1_s2_w3,Cherokee Cloze Sentences,19,15.1,3,5,A very young child drinks only milk.,ᎠᏓᎨ ᎠᏲᏟ <span class='cloze-blank'>______</span> ᎢᎦ ᎠᏗᏔᏍᎪᎢ.,adage ayohli <span class='cloze-blank'>______</span> iga aditasgo’i,ᎤᏅᏗᏊ,unvdigwu,ᎠᏓᎨ ᎠᏲᏟ <span class='cloze-target'>ᎤᏅᏗᏊ</span> ᎢᎦ ᎠᏗᏔᏍᎪᎢ.,adage ayohli <span class='cloze-target'>unvdigwu</span> iga aditasgo’i,[sound:Sentence_for_entry_0015_02.m4a],cloze sentence entry_15
cloze_1679.1_s1_w4,Cherokee Cloze Sentences,20,1679.1,4,4,She was wearing a wedding ring.,ᏕᎨᎦᏨᏍᏗᏍᎬ ᎤᎾᎵᏰᏑᏍᏙᏍᏗ ᎠᎵᏰᏑᏍᏙ <span class='cloze-blank'>______</span>.,degegachvsdisgv unaliyesustosdi aliyesusto <span class='cloze-blank'>______</span>,ᎤᎵᏰᏑᏍᏘᎬᎢ,uliyesustgv’i,ᏕᎨᎦᏨᏍᏗᏍᎬ ᎤᎾᎵᏰᏑᏍᏙᏍᏗ ᎠᎵᏰᏑᏍᏙ <span class='cloze-target'>ᎤᎵᏰᏑᏍᏘᎬᎢ</span>.,degegachvsdisgv unaliyesustosdi aliyesusto <span class='cloze-target'>uliyesustgv’i</span>,[sound:Sentence_for_entry_1679.m4a],cloze sentence entry_1679
cloze_1779.1_s1_w3,Cherokee Cloze Sentences,21,1779.1,3,5,How much are a dozen eggs?,ᎯᎳ ᏧᎬᏩᎶᏗ <span class='cloze-blank'>______</span> ᎢᏔᎵᏚ ᏧᏪᏥ?,hila jugvwalhdi <span class='cloze-blank'>______</span> italadu juweji,ᏌᏊ,sagwu,ᎯᎳ ᏧᎬᏩᎶᏗ <span class='cloze-target'>ᏌᏊ</span> ᎢᏔᎵᏚ ᏧᏪᏥ?,hila jugvwalhdi <span class='cloze-target'>sagwu</span> italadu juweji,[sound:Sentence_for_entry_1779.m4a],cloze sentence entry_1779
cloze_244.1_s1_w4,Cherokee Cloze Sentences,22,244.1,4,5,How many chicks hatched?,ᎯᎳ ᎢᏯᏂᎢ ᏥᏔᎦ <span class='cloze-blank'>______</span> ᎤᎾᏣᎢᏎᎢ?,hila iyani jitaga <span class='cloze-blank'>______</span> unaja’ise’i,ᎠᏂᏓ,anida,ᎯᎳ ᎢᏯᏂᎢ ᏥᏔᎦ <span class='cloze-target'>ᎠᏂᏓ</span> ᎤᎾᏣᎢᏎᎢ?,hila iyani jitaga <span class='cloze-target'>anida</span> unaja’ise’i,[sound:Sentence_for_entry_0244.m4a],cloze sentence entry_244
cloze_877.1_s1_w1,Cherokee Cloze Sentences,23,877.1,1,2,He’s cleaning a gun.,<span class='cloze-blank'>______</span> ᎦᏅᎦᎵᎭ.,<span class='cloze-blank'>______</span> ganvgaliha,ᎦᎶᏇ,galogwe,<span class='cloze-target'>ᎦᎶᏇ</span> ᎦᏅᎦᎵᎭ.,<span class='cloze-target'>galogwe</span> ganvgaliha,[sound:Sentence_for_entry_0877.m4a],cloze sentence entry_877
cloze_1736.1_s1_w3,Cherokee Cloze Sentences,24,1736.1,3,3,Hand me an empty can.,ᎤᏏᏩ ᏔᎷᎩᏍᎩ <span class='cloze-blank'>______</span>.,usihwa talugisgi <span class='cloze-blank'>______</span>,ᎡᏍᎬᏏ,eskvsi,ᎤᏏᏩ ᏔᎷᎩᏍᎩ <span class='cloze-target'>ᎡᏍᎬᏏ</span>.,usihwa talugisgi <span class='cloze-target'>eskvsi</span>,[sound:Sentence_for_entry_1736.m4a],cloze sentence entry_1736
cloze_195.1_s1_w6,Cherokee Cloze Sentences,25,195.1,6,6,She was given a new coat‚ but she didn’t wear it.,ᎢᏤ ᎦᏌᎴᏂ ᎠᏥᏅᏁᎸ ᎠᏎᏃ Ꮭ <span class='cloze-blank'>______</span>.,ije gasaleni ajinvnelv asehno hla <span class='cloze-blank'>______</span>,ᏳᎿᏬᎡᎢ,yuhnawo’e’i,ᎢᏤ ᎦᏌᎴᏂ ᎠᏥᏅᏁᎸ ᎠᏎᏃ Ꮭ <span class='cloze-target'>ᏳᎿᏬᎡᎢ</span>.,ije gasaleni ajinvnelv asehno hla <span class='cloze-target'>yuhnawo’e’i</span>,[sound:Sentence_for_entry_0195.m4a],cloze sentence entry_195
cloze_1442.1_s1_w3,Cherokee Cloze Sentences,26,1442.1,3,4,He’s coming back the tenth of next month.,ᏍᎪᎯᏁ ᏐᎢ <span class='cloze-blank'>______</span> ᏛᎦᎷᏥ.,sgohine so’i <span class='cloze-blank'>______</span> dvgaluhji,ᎧᎴᏍᏗ,ka’lesdi,ᏍᎪᎯᏁ ᏐᎢ <span class='cloze-target'>ᎧᎴᏍᏗ</span> ᏛᎦᎷᏥ.,sgohine so’i <span class='cloze-target'>ka’lesdi</span> dvgaluhji,[sound:Sentence_for_entry_1442.m4a],cloze sentence entry_1442
cloze_471.1_s1_w2,Cherokee Cloze Sentences,27,471.1,2,4,Moor the boat when you’re through fishing.,ᎯᏔᎳᏛ <span class='cloze-blank'>______</span> ᏥᏳ ᎭᏑᏃᏅᎢ.,hihtala’dv <span class='cloze-blank'>______</span> jiyu hasuhnohnv’i,Ꮎ,na,ᎯᏔᎳᏛ <span class='cloze-target'>Ꮎ</span> ᏥᏳ ᎭᏑᏃᏅᎢ.,hihtala’dv <span class='cloze-target'>na</span> jiyu hasuhnohnv’i,[sound:Sentence_for_entry_0471.m4a],cloze sentence entry_471
cloze_1021.1_s1_w2,Cherokee Cloze Sentences,28,1021.1,2,3,Have you already been to town?,ᎦᏳᎳᏍ <span class='cloze-blank'>______</span> ᏗᎦᏚᎲᎢ?,gayulas <span class='cloze-blank'>______</span> digaduhv’i,ᏫᏤᏙᎳ,wijedola,ᎦᏳᎳᏍ <span class='cloze-target'>ᏫᏤᏙᎳ</span> ᏗᎦᏚᎲᎢ?,gayulas <span class='cloze-target'>wijedola</span> digaduhv’i,[sound:Sentence_for_entry_1021.m4a],cloze sentence entry_1021
cloze_256.1_s1_w3,Cherokee Cloze Sentences,29,256.1,3,3,Flowers bloom in the spring.,ᎪᎨᏱ ᎠᏂᏥᎸᏍᎪ <span class='cloze-blank'>______</span>.,gogeyi anijilvsgo <span class='cloze-blank'>______</span>,ᎠᏂᏥᎸᏍᎩ,anijilvsgi,ᎪᎨᏱ ᎠᏂᏥᎸᏍᎪ <span class='cloze-target'>ᎠᏂᏥᎸᏍᎩ</span>.,gogeyi anijilvsgo <span class='cloze-target'>anijilvsgi</span>,[sound:Sentence_for_entry_0256.m4a],cloze sentence entry_256
cloze_360.1_s1_w4,Cherokee Cloze Sentences,30,360.1,4,5,The fish in the ocean are big.,ᎠᎺᏉ ᎠᏁᎯ ᎠᏣᏗ <span class='cloze-blank'>______</span> ᎨᏐᎢ.,amegwo anehi aja’di <span class='cloze-blank'>______</span> geso’i,ᏧᎾᏔᎾ,juntana,ᎠᎺᏉ ᎠᏁᎯ ᎠᏣᏗ <span class='cloze-target'>ᏧᎾᏔᎾ</span> ᎨᏐᎢ.,amegwo anehi aja’di <span class='cloze-target'>juntana</span> geso’i,[sound:Sentence_for_entry_0360.m4a],cloze sentence entry_360
cloze_1598.1_s1_w1,Cherokee Cloze Sentences,31,1598.1,1,3,I hear a bell ringing.,<span class='cloze-blank'>______</span> ᎤᏃᏴᎬ ᎦᏛᎩᎠ.,<span class='cloze-blank'>______</span> unohyvhgv gatvgi’a,ᎤᎭᎸᎾ,uhalvna,<span class='cloze-target'>ᎤᎭᎸᎾ</span> ᎤᏃᏴᎬ ᎦᏛᎩᎠ.,<span class='cloze-target'>uhalvna</span> unohyvhgv gatvgi’a,[sound:Sentence_for_entry_1598.m4a],cloze sentence entry_1598
cloze_234.1_s1_w1,Cherokee Cloze Sentences,32,234.1,1,2,Don’t bend it!,<span class='cloze-blank'>______</span> ᏥᎯᏴᏈᏛᏂ!,<span class='cloze-blank'>______</span> jihihyvhgwidvni,ᏞᏍᏗ,hlesdi,<span class='cloze-target'>ᏞᏍᏗ</span> ᏥᎯᏴᏈᏛᏂ!,<span class='cloze-target'>hlesdi</span> jihihyvhgwidvni,[sound:Sentence_for_entry_0234_01.m4a],cloze sentence entry_234
cloze_843.1_s1_w2,Cherokee Cloze Sentences,33,843.1,2,3,Take a coat‚ because it’s cold.,ᎦᏌᎴᏂ <span class='cloze-blank'>______</span> ᎤᏴᏜᎮᏃ.,gasaleni <span class='cloze-blank'>______</span> uhyvdlahehno,ᎯᏄᎦ‚,hihnuga,ᎦᏌᎴᏂ <span class='cloze-target'>ᎯᏄᎦ‚</span> ᎤᏴᏜᎮᏃ.,gasaleni <span class='cloze-target'>hihnuga</span> uhyvdlahehno,[sound:Sentence_for_entry_0843.m4a],cloze sentence entry_843
cloze_977.1_s2_w2,Cherokee Cloze Sentences,34,977.1,2,2,He ran out of brakes.,ᏗᎦᏅᏠᏍᏗ <span class='cloze-blank'>______</span>.,diganvhlosdi <span class='cloze-blank'>______</span>,ᏚᏗᏒᏁᎸᎢ,dutsvhnelv’i,ᏗᎦᏅᏠᏍᏗ <span class='cloze-target'>ᏚᏗᏒᏁᎸᎢ</span>.,diganvhlosdi <span class='cloze-target'>dutsvhnelv’i</span>,[sound:Sentence_for_entry_0977_02.m4a],cloze sentence entry_977
cloze_396.1_s2_w3,Cherokee Cloze Sentences,35,396.1,3,4,If someone is drunk‚ he jails him.,ᎤᏴᏍᏕᏓ ᏱᎩ <span class='cloze-blank'>______</span> ᎠᏍᏚᎲᏍᎪᎢ.,uhyvsdeda yigi <span class='cloze-blank'>______</span> asduhvsgo’i,ᎩᎶ,kilo,ᎤᏴᏍᏕᏓ ᏱᎩ <span class='cloze-target'>ᎩᎶ</span> ᎠᏍᏚᎲᏍᎪᎢ.,uhyvsdeda yigi <span class='cloze-target'>kilo</span> asduhvsgo’i,[sound:Sentence_for_entry_0396_02.m4a],cloze sentence entry_396
cloze_899.1_s1_w1,Cherokee Cloze Sentences,36,899.1,1,2,The sky is blue.,<span class='cloze-blank'>______</span> ᏌᎪᏂᎨᎢ.,<span class='cloze-blank'>______</span> sakonige’i,ᎦᎸᎶ,galvlo,<span class='cloze-target'>ᎦᎸᎶ</span> ᏌᎪᏂᎨᎢ.,<span class='cloze-target'>galvlo</span> sakonige’i,[sound:Sentence_for_entry_0899.m4a],cloze sentence entry_899
cloze_937.1_s1_w3,Cherokee Cloze Sentences,37,937.1,3,4,The dog is trying to catch his tail.,ᎦᏂᏓᏛ ᎤᏂᏱᏗ <span class='cloze-blank'>______</span> ᎩᏟ.,ganidadv uniyhdi <span class='cloze-blank'>______</span> gihli,ᎠᏁᎵᏗᎭ,anelhdiha,ᎦᏂᏓᏛ ᎤᏂᏱᏗ <span class='cloze-target'>ᎠᏁᎵᏗᎭ</span> ᎩᏟ.,ganidadv uniyhdi <span class='cloze-target'>anelhdiha</span> gihli,[sound:Sentence_for_entry_0937.m4a],cloze sentence entry_937
cloze_426.1_s1_w3,Cherokee Cloze Sentences,38,426.1,3,4,He finishes his work at 4:30.,ᏅᎩ ᎠᏰᏟ <span class='cloze-blank'>______</span> ᏚᎸᏫᏍᏓᏁᎲᎢ.,nvhgi ayehli <span class='cloze-blank'>______</span> dulvhwisdanehv’i,ᎠᏍᏆᏗᏍᎪ,asgwadisgo,ᏅᎩ ᎠᏰᏟ <span class='cloze-target'>ᎠᏍᏆᏗᏍᎪ</span> ᏚᎸᏫᏍᏓᏁᎲᎢ.,nvhgi ayehli <span class='cloze-target'>asgwadisgo</span> dulvhwisdanehv’i,[sound:Sentence_for_entry_0426.m4a],cloze sentence entry_426
cloze_194.1_s1_w1,Cherokee Cloze Sentences,39,194.1,1,5,I have a shirt made of cowhide.,<span class='cloze-blank'>______</span> ᎦᏁᎦ ᎪᏢᏔᏅ ᎠᎿᏬ ᎠᎩᎾᎠ.,<span class='cloze-blank'>______</span> ganega gohlvhtanv ahnawo agina’a,ᏩᎦ,wahga,<span class='cloze-target'>ᏩᎦ</span> ᎦᏁᎦ ᎪᏢᏔᏅ ᎠᎿᏬ ᎠᎩᎾᎠ.,<span class='cloze-target'>wahga</span> ganega gohlvhtanv ahnawo agina’a,[sound:Sentence_for_entry_0194.m4a],cloze sentence entry_194
cloze_1778.1_s1_w3,Cherokee Cloze Sentences,40,1778.1,3,4,How did he become wealthy?,ᎦᏙ ᎠᏛᏁᎲ <span class='cloze-blank'>______</span> ᏄᎵᏍᏔᏁᎢ?,gado advnehv <span class='cloze-blank'>______</span> nulstane’i,ᎤᏪᎿᎢ,uwehna’i,ᎦᏙ ᎠᏛᏁᎲ <span class='cloze-target'>ᎤᏪᎿᎢ</span> ᏄᎵᏍᏔᏁᎢ?,gado advnehv <span class='cloze-target'>uwehna’i</span> nulstane’i,[sound:Sentence_for_entry_1778.m4a],cloze sentence entry_1778
cloze_1810.1_s2_w1,Cherokee Cloze Sentences,41,1810.1,1,4,She has a very spoiled child.,<span class='cloze-blank'>______</span> ᎤᏲᏨ ᎠᏲᏟ ᎤᏪᎧᎭ.,<span class='cloze-blank'>______</span> uyojv ayohli uwekaha,ᎤᏙᎯᏳ,udohiyu,<span class='cloze-target'>ᎤᏙᎯᏳ</span> ᎤᏲᏨ ᎠᏲᏟ ᎤᏪᎧᎭ.,<span class='cloze-target'>udohiyu</span> uyojv ayohli uwekaha,[sound:Sentence_for_entry_1810_02.m4a],cloze sentence entry_1810
cloze_1008.1_s1_w2,Cherokee Cloze Sentences,42,1008.1,2,6,When he drives cattle for a long distance‚ he rests them a few times.,ᎢᎾ <span class='cloze-blank'>______</span> ᏩᎦ ᎯᎸᏍᎩ ᎢᏳᏩᎩᏗ ᏕᎦᏪᏐᎸᏍᏗᏍᎪᎢ.,ina <span class='cloze-blank'>______</span> wahga hilvsgi iyuwakdi degawesolvsdisgo’i,ᏱᏚᎯᎴᎾ,yiduhi’lena,ᎢᎾ <span class='cloze-target'>ᏱᏚᎯᎴᎾ</span> ᏩᎦ ᎯᎸᏍᎩ ᎢᏳᏩᎩᏗ ᏕᎦᏪᏐᎸᏍᏗᏍᎪᎢ.,ina <span class='cloze-target'>yiduhi’lena</span> wahga hilvsgi iyuwakdi degawesolvsdisgo’i,[sound:Sentence_for_entry_1008.m4a],cloze sentence entry_1008
cloze_1087.1_s1_w1,Cherokee Cloze Sentences,43,1087.1,1,5,She boiled three eggs for breakfast.,<span class='cloze-blank'>______</span> ᏧᏪᏥ ᏚᏭᏅ ᏑᎾᎴ ᏧᎩᏍᏗ.,<span class='cloze-blank'>______</span> juweji duwuhnv sunale jugisdi,ᏦᎢᎭ,jo’iha,<span class='cloze-target'>ᏦᎢᎭ</span> ᏧᏪᏥ ᏚᏭᏅ ᏑᎾᎴ ᏧᎩᏍᏗ.,<span class='cloze-target'>jo’iha</span> juweji duwuhnv sunale jugisdi,[sound:Sentence_for_entry_1087.m4a],cloze sentence entry_1087
cloze_703.1_s1_w1,Cherokee Cloze Sentences,44,703.1,1,4,Hand me a sharpener. I’m going to sharpen a knife.,<span class='cloze-blank'>______</span> ᎡᏍᎬᏏ. ᎭᏰᎵᏍᏗ ᏓᎬᏢᎯ.,<span class='cloze-blank'>______</span> deskvsi hayelsdi dodagvhdlvhi,ᏗᎬᏢᏗ,dikdlvhdi,<span class='cloze-target'>ᏗᎬᏢᏗ</span> ᎡᏍᎬᏏ. ᎭᏰᎵᏍᏗ ᏓᎬᏢᎯ.,<span class='cloze-target'>dikdlvhdi</span> deskvsi hayelsdi dodagvhdlvhi,[sound:Sentence_for_entry_0703.m4a],cloze sentence entry_703
cloze_497.1_s1_w1,Cherokee Cloze Sentences,45,497.1,1,1,Are you lying to me?,<span class='cloze-blank'>______</span>?,<span class='cloze-blank'>______</span>,ᏍᏆᏥᎪᏁᎭᏍ,sgwatsgonehas,<span class='cloze-target'>ᏍᏆᏥᎪᏁᎭᏍ</span>?,<span class='cloze-target'>sgwatsgonehas</span>,[sound:Sentence_for_entry_0497.m4a],cloze sentence entry_497
